descricao,interacoes,reviews,tamanho,tempo_de_analise
472,31,1,436,2163
770,42,13,857,10044
2238,8,1,80,156
2457,17,1,2,1134
2027,5,1,77,710
2026,3,1,2,463
0,5,4,59,384
855,3,2,12,366
195,3,1,2,7
1900,1,1,2,7
1973,22,3,1,603
2419,1,2,4309,7
473,36,1,8,467
2316,23,11,73,861
190,10,2,2,357
1759,4,2,1,584
1906,7,3,2,23
2312,12,4,253,1022
139,0,3,18,73
1906,6,1,1051,15
1896,8,1,6,479
44,0,1,15,12
2322,22,15,136,696
2319,2,1,2,8
1783,0,1,446,4
1939,2,1,2,1
2132,3,1,230,12
2018,5,3,53,44
1943,1,1,2,9
0,50,1,1129,2741
111,0,1,81,57
1137,4,2,241,117
69,3,2,4,1
1916,4,3,4,3
984,2,1,4,3
2169,0,1,4,6
2074,8,1,2,32
2154,6,2,12,28
2840,8,1,2,69
1901,6,7,21,22
2008,2,1,2,11
1998,7,1,82,8
1971,1,1,4,2
2360,1,1,2,1
0,10,1,48,481
2056,11,2,1,93
1750,1,1,51,27
2530,4,1,11,93
1986,24,28,236,1416
1970,28,30,194,1176
1959,0,2,2,9
2055,5,4,2,774
1962,4,5,8,65
2319,15,9,2,1727
1955,15,10,138,1850
1671,7,6,9,80
1939,8,3,2,70
2068,3,4,2,61
5802,14,1,2,284
2150,3,3,1,63
2052,1,2,8,54
2199,6,6,13,45
2025,3,2,10,32
1902,17,5,13,107
320,0,7,2,3
2220,6,8,14,584
114,0,1,5174,13
1886,7,1,6,13
2015,3,7,10,109
2258,23,14,135,2876
2051,8,2,34,162
369,21,7,1213,3942
3998,0,3,2,25
2150,15,10,63,564
1952,0,1,1,1
1915,10,3,4,299
1995,0,1,3,12
3014,2,1,2,15
1930,3,2,65,125
1348,0,1,4,4
2063,0,1,71,9
60,2,1,5,3
2284,1,1,8,5
2377,4,3,2459,998
3777,16,1,6,127
2310,9,6,66,763
1985,11,3,2,213
1913,2,1,4,15
4905,3,1,2,51
2144,12,6,137,1008
1977,2,1,9,843
2023,1,2,3,38
4041,3,6,51,31
2132,5,1,3,11
2058,5,5,3,12
2038,5,2,2,21
2023,0,2,7,16
2093,8,4,9,2
2000,5,2,2,204
2131,5,1,1,47
1913,2,2,15,15
10286,1,1,2,103
2044,4,3,55,94
1913,2,2,4,24
2024,8,5,25,176
103,2,1,2,63
1913,0,1,2,7
426,11,7,185,1163
1956,10,15,11,1132
2118,2,2,57,681
425,1,1,631,9
2033,1,2,54,1688
2032,4,2,2,31
8831,5,1,2,592
291,16,9,153,1030
2029,5,1,4,3
1985,1,1,2,365
1970,7,2,2,16
2052,11,3,29,825
2004,8,8,4,1
1760,3,2,2,12
2058,0,2,2,37
1965,1,1,8,23
321,2,1,18,91
1715,1,1,174,83
2056,1,1,75,81
1911,1,1,4,4
1928,7,2,2,49
13,1,3,90,25
146,3,1,81,11
3704,3,4,35,54
2138,1,1,10,79
2211,8,6,10,331
0,4,2,69,25
2467,7,7,20,178
895,4,1,2,20
1926,0,1,2,19
1913,5,1,2,15
1940,5,2,6,43
1943,3,1,3,95
190,0,1,63,23
2038,1,1,190,9
179,2,1,583,1104
934,6,1,17,170
2846,4,1,226,23
460,2,4,2,6
2448,0,1,6,3
2147,0,1,6,13
2152,9,8,728,3029
2558,1,3,84,3
1963,1,1,16,1
2747,4,1,40,57
2124,0,1,1,7
2253,8,2,4,67
0,0,1,2254,11
2147,3,1,15,29
1768,1,4,38,6
2149,3,2,121,17
1978,0,1,48,2
1936,0,1,2,1
2095,6,2,11533,641
2189,1,3,2,43
2090,0,1,4,6
2421,3,1,1368,120
1708,2,2,10,69
2494,1,3,4566,54
2041,0,1,4,6
2017,3,3,12,13
2926,1,1,199,13
2203,1,2,4,8
2176,7,5,815,66
2338,13,7,151,87
2316,10,2,70,98
2509,3,1,4434,70
1405,8,1,112,5267
2181,2,3,143,117
1275,4,4,18,96
1912,5,15,47,137
2137,1,3,1,31
1983,14,5,86,154
1701,2,1,5,60
3438,8,6,11,66
1976,0,1,36,11
2238,5,2,6931,125
1628,3,14,12,205
1235,1,4,5,20
2865,7,4,39,20
1994,2,1,4,1
1764,2,1,38,16
2468,0,7,164,7
2403,0,1,9,4
2819,4,10,175,63
2227,4,8,79,77
2230,0,1,48,17
1986,1,1,2,2
2014,5,1,228,173
1477,12,10,82,5142
4910,1,1,2,1285
2025,2,2,5,22
2170,1,2,25,21
1124,0,7,80,163
1650,1,1,10,17
2123,0,2,3,5
2638,0,1,4,1
2943,7,6,792,21
2089,0,1,4,6
2172,0,1,2,4
2393,0,1,8,2
2319,0,1,2,2
168,0,1,2,1
1912,9,3,4,527
3133,1,1,2,5
1865,0,3,10,12
2061,0,1,4,14
2017,0,1,2,13
1786,1,1,10,5
1983,2,1,6,21
2164,2,2,7,12
2276,2,3,2,2
2636,9,6,34,90
1950,1,2,2,1
2118,8,10,8,197
967,2,2,14,3
2371,6,12,7,158
2536,9,4,89,553
1956,3,1,28,66
1799,4,1,2,1
2181,2,1,2,23
2028,0,1,8,26
1773,2,1,12,45
2391,2,4,24,133
149,8,2,9,115
2480,15,4,225,483
1964,0,1,4,1
1894,3,10,98,2
2063,9,7,21,1676
2290,9,4,112,236
1168,1,5,113,52
104,2,1,4,5
2117,1,1,2,78
2343,8,2,7,180
1974,0,1,2,2
2101,5,1,25,27
2050,1,1,90,15
2135,6,1,13,138
2392,1,2,4,1
1947,0,3,0,70
1961,4,8,64,159
2130,1,6,25,258
2056,0,1,6,3
403,1,2,4,27
1938,0,1,2,2
2356,17,3,38,1679
2030,3,2,11,16
2058,0,3,4,8
2167,1,2,118,65
2216,0,1,2,15
2041,0,3,2,28
2108,5,3,94,51
1912,0,1,2,1
1684,2,1,28,3
2629,1,7,18,60
1970,0,1,4,1
1968,2,3,58,22
1951,0,1,2,1
1958,3,1,16,6
2587,7,4,11,47
2022,6,1,4,9
2017,0,1,9,7
2084,0,6,8,5
2014,0,1,6,1
1300,2,1,2,10
2258,2,2,4,97
2802,0,2,3,1
2383,1,3,440,95
1912,4,1,6,23
847,6,3,14,2297
2263,2,3,54,84
2410,0,1,7,18
2285,0,1,88,18
4799,0,1,2,3
2201,1,3,37,19
2065,1,3,4,15
1953,0,1,9,3
2005,3,3,3,297
2181,1,1,4,6
2015,0,1,4,3
2389,6,3,4,58
2055,2,7,2,73
1966,9,3,725,1615
2935,5,1,12,271
2116,0,1,9,18
2124,4,10,2,313
1913,7,2,63,84
2196,3,1,2,2
2088,1,1,2,3
2009,11,6,128,537
2460,2,1,2,38
3213,0,1,18,78
1909,3,1,6,19
1948,2,1,2,15
2251,0,1,3,8
